Wholesaler,Date,HLs,Materials
29606863,2019-10-08,"[33.264, 4.752, 33.6, 8.4, 16.8, 9.504]","[3337, 10957, 29777, 48859, 57005, 59874]"
29606863,2019-10-14,"[21.6, 4.8, 6.4, 4.2, 1.6, 14.4, 18.0, 0.6, 1.5336, 16.2, 4.2, 2.4]","[3372, 5983, 6013, 10947, 10965, 11574, 16519, 48537, 54232, 59848, 66989, 71317]"
29606863,2019-10-16,"[28.8, 21.6, 7.2, 6.4, 12.6, 18.0, 4.2, 1.2, 21.6, 0.9504]","[3372, 3410, 5983, 6013, 10946, 16550, 19898, 48537, 59848, 59940]"
29606863,2019-10-23,"[21.6, 14.4, 4.0, 21.0, 21.6, 22.5, 12.6, 0.9504, 21.6, 8.4]","[3372, 3410, 9974, 10946, 11574, 16550, 29777, 43113, 59848, 66989]"
29606863,2019-10-28,"[79.2, 36.0, 21.6, 27.0]","[3372, 3410, 11574, 59848]"
29606863,2019-10-29,"[33.264, 4.752, 29.4, 25.2, 14.256]","[3337, 10957, 29777, 48859, 59874]"
29606863,2019-10-30,"[0.792, 21.6, 14.4, 9.6, 6.4, 18.0, 4.2, 1.9008, 4.0, 1.8, 10.8, 2.4]","[3338, 3410, 5983, 6013, 10965, 16519, 19898, 43113, 54639, 59847, 59848, 71317]"
29606863,2019-11-04,"[4.8, 9.6, 4.0, 16.8, 4.2, 14.4, 22.5, 43.2, 8.4]","[5983, 6013, 9974, 10946, 10947, 11574, 16550, 59848, 62707]"
29606863,2019-11-08,"[36.0, 9.0, 3.0672, 42.0, 0.0, 1.8, 4.752, 0.9504]","[3410, 16519, 54232, 57005, 58245, 59847, 59873, 72548]"
29606863,2019-11-13,[0.0],[58245]
29606863,2019-11-14,"[21.6, 57.6, 4.8, 1.035, 4.752, 36.0, 8.4, 10.8, 4.752, 4.2, 2.4]","[3372, 3410, 6013, 6108, 10957, 11574, 29777, 59848, 59874, 66989, 71317]"
29606863,2019-11-20,"[57.6, 16.8, 6.4, 13.5, 4.2, 1.8, 10.8]","[3372, 10946, 10965, 16550, 19898, 59847, 59848]"
29606863,2019-11-21,"[38.016, 33.6, 25.2, 9.504]","[3337, 29777, 57005, 59874]"
29606863,2019-11-22,"[57.6, 14.4, 2.4, 1.6, 8.4, 9.6, 28.8, 9.0, 13.5, 4.2, 16.2, 4.2, 2.4]","[3372, 3410, 5983, 6013, 10946, 10965, 11574, 16519, 16550, 20614, 59848, 66989, 71317]"
29606863,2019-12-02,"[0.792, 28.8, 4.0, 16.8, 14.4, 13.5, 4.2, 4.2, 12.6, 1.8, 27.0, 8.4]","[3338, 3410, 9974, 10946, 11574, 16550, 19898, 20614, 48859, 59847, 59848, 62707]"
29606863,2019-12-04,"[21.6, 9.6, 1.035, 14.4, 9.0, 9.0, 1.5336, 1.8, 16.2, 14.256, 2.4]","[3410, 5983, 6108, 11574, 16519, 16550, 54232, 59847, 59848, 59874, 62706]"
29606863,2019-12-16,"[36.0, 7.2, 6.4, 1.035, 27.0, 4.2, 10.8, 4.2]","[3410, 5983, 6013, 6108, 16550, 19898, 59848, 66989]"
29606863,2019-12-19,"[28.512, 50.400000000000006, 79.2, 14.4, 8.0, 46.2, 4.752, 50.4, 0.6, 4.2, 8.4, 29.4, 0.6, 8.4, 12.6, 1.8, 37.8, 23.76, 2.4]","[3337, 3372, 3410, 5983, 6013, 10946, 10957, 11574, 17028, 19898, 20614, 29777, 48537, 48859, 57005, 59847, 59848, 59874, 71317]"
29606863,2019-12-26,"[28.8, 14.4, 0.6, 4.2, 13.5, 4.2, 42.0, 1.2, 4.0, 43.2, 4.0, 8.4]","[3372, 5983, 10611, 10947, 16519, 19898, 29777, 48537, 54639, 59848, 63627, 66989]"
29606863,2019-12-30,"[36.0, 6.4, 1.035, 4.8, 14.4, 0.6, 42.0, 0.6, 1.8, 4.752, 2.4, 0.9504]","[3410, 6013, 6108, 10965, 11574, 17028, 29777, 33335, 59847, 59873, 71317, 77589]"
29606863,2020-01-07,"[7.2, 14.4, 13.5, 42.0, 0.0, 27.0, 9.504, 4.0]","[5983, 11574, 16519, 29777, 58245, 59848, 59874, 63627]"
29606863,2020-01-14,"[6.4, 54.0, 0.6, 27.0, 4.0]","[6013, 16550, 48537, 59848, 66839]"
29606863,2020-01-15,"[57.6, 14.4, 14.4, 22.5, 0.6, 4.2, 4.2, 0.6, 4.2]","[3410, 10965, 11574, 16519, 17028, 19898, 20614, 48537, 66989]"
29606863,2020-01-17,"[57.6, 21.0, 0.6, 4.0, 8.4, 10.8]","[3372, 10946, 33335, 37961, 48859, 59848]"
29606863,2020-01-23,"[0.792, 57.6, 4.0, 28.8, 4.2, 0.6, 8.0, 0.6, 1.8, 21.6, 4.2]","[3338, 3410, 9974, 11574, 19898, 33335, 37961, 48537, 59847, 59848, 66989]"
29606863,2020-01-27,"[14.4, 14.4, 7.2, 4.8, 14.4, 9.0, 27.0, 1.5336, 1.8, 21.6, 2.4]","[3372, 3410, 5983, 6013, 11574, 16519, 16550, 54232, 59847, 59848, 71317]"
29606863,2020-01-29,"[23.76, 54.6, 4.2, 16.8, 16.8, 33.6, 25.2, 4.752, 19.008, 16.8]","[3337, 10946, 10947, 19898, 20614, 29777, 57005, 59873, 59874, 66989]"
29606863,2020-01-30,"[43.2, 4.752, 9.6, 54.0, 0.6, 0.6, 36.0]","[3372, 10957, 10965, 16550, 17028, 33335, 59848]"
29606863,2020-02-07,"[28.8, 28.8, 14.4, 1.035, 28.8, 18.0, 0.6, 4.2, 8.0, 0.6, 3.0672, 3.6, 4.0]","[3372, 3410, 5983, 6108, 11574, 16519, 17028, 29777, 37961, 48537, 54232, 59847, 63311]"
29606863,2020-02-17,"[0.792, 36.0, 36.0, 7.2, 21.6, 0.6, 4.0, 1.8, 4.2, 27.0, 0.9504]","[3338, 3372, 3410, 5983, 11574, 17028, 37961, 48537, 48859, 59848, 76623]"
29606863,2020-02-27,"[38.016, 0.792, 57.6, 43.2, 9.6, 4.0, 0.6, 88.2, 28.8, 16.8, 50.4, 1.2, 1.8, 21.0, 9.504, 4.2, 7.2]","[3337, 3338, 3372, 3410, 6013, 9974, 10611, 10946, 11574, 19898, 29777, 33335, 48537, 48859, 59874, 66989, 70579]"
29606863,2020-03-05,"[57.6, 57.6, 7.2, 4.2, 4.752, 1.8, 3.6, 16.2, 0.9504]","[3372, 3410, 5983, 10947, 10957, 48537, 59847, 59848, 77589]"
29606863,2020-03-09,"[6.4, 1.035, 14.4, 4.5, 18.0, 1.8, 33.6, 3.6, 5.4, 4.752]","[6013, 6108, 11574, 16519, 16550, 48537, 57005, 59847, 59848, 59874]"
29606863,2020-04-08,"[27.0, 27.0]","[16519, 16550]"
29606863,2020-04-09,[18.0],[16550]
29606863,2020-04-22,"[18.0, 45.0, 4.2]","[16519, 16550, 57005]"
29606863,2020-04-29,"[22.5, 8.4]","[16550, 57005]"
29606863,2020-05-06,"[4.2, 1.2, 1.2, 16.8, 8.4]","[10947, 33335, 48537, 57005, 66989]"
29606863,2020-05-13,"[45.0, 1.2, 0.6, 8.4]","[16519, 33335, 48537, 48859]"
29606863,2020-05-20,"[4.2, 45.0, 12.6, 8.4]","[10947, 16519, 57005, 66989]"
29606863,2020-05-27,"[13.5, 4.2, 4.2, 0.6]","[16550, 19898, 33335, 48537]"
29606863,2020-06-02,"[0.6, 0.6, 31.5, 4.2, 25.2, 16.8, 16.8, 0.0, 4.2, 3.408, 0.9504]","[10611, 10946, 16519, 20614, 29777, 48859, 57005, 58245, 66989, 77313, 77589]"
29606863,2020-06-05,"[36.0, 8.0, 16.8, 4.2, 4.752, 12.6, 8.4, 12.6, 1.2]","[5983, 9974, 10946, 10947, 10957, 19898, 20614, 29777, 48537]"
29606863,2020-06-09,"[0.792, 0.6, 1.2, 8.4, 54.0, 4.752, 9.504, 4.2]","[3338, 10611, 10946, 20614, 59848, 59873, 59874, 66989]"
29606863,2020-06-12,"[1.584, 6.4, 16.8, 4.2, 4.752, 28.8, 21.6, 4.2, 4.752]","[3338, 6013, 10946, 10947, 10957, 10965, 11574, 29777, 59874]"
29606863,2020-06-17,"[57.6, 6.4, 16.8, 4.2, 1.2, 16.8, 16.8, 1.2, 4.2, 21.6, 4.2]","[3410, 6013, 10946, 10947, 17028, 19898, 29777, 48537, 48859, 59848, 66989]"
29606863,2020-06-22,"[50.4, 57.6, 12.0, 25.200000000000003, 8.4, 36.0, 33.6, 16.8, 37.8, 75.6, 9.504, 63.0, 0.9504, 3.0672]","[3372, 3410, 9974, 10946, 10947, 11574, 29777, 48859, 57005, 59848, 59874, 66989, 76623, 77313]"
29606863,2020-06-24,"[19.008, 57.6, 122.4, 43.2, 1.8, 8.4, 29.4, 21.0, 8.4, 4.6008]","[3337, 3372, 3410, 5983, 10611, 10946, 19898, 20614, 33335, 77313]"
29606863,2020-06-29,"[9.6, 25.2, 4.2, 9.504, 21.6, 1.8, 33.6, 4.752, 9.504, 4.0, 2.4]","[6013, 10946, 10947, 10957, 11574, 48537, 57005, 59873, 59874, 63311, 71317]"
29606863,2020-07-02,"[21.6, 7.2, 13.8, 21.0, 4.2]","[3372, 5983, 11574, 19898, 20614]"
29606863,2020-07-07,"[14.4, 43.2, 14.4, 4.752, 4.0, 2.4]","[3372, 5983, 11574, 59874, 63311, 71317]"
29606863,2020-07-08,"[7.2, 4.0, 21.0, 4.2, 4.0, 1.2, 4.0]","[3372, 9974, 10946, 33335, 37961, 48537, 63311]"
29606863,2020-07-17,"[0.792, 50.4, 21.0, 4.2, 4.2, 1.8, 4.752]","[3338, 3372, 10946, 10947, 33335, 59847, 59874]"
29606863,2020-07-22,"[9.6, 12.0, 58.8, 14.4, 28.8, 25.2, 3.6, 97.2, 4.0, 0.9504, 4.6008]","[6013, 9974, 10946, 10965, 11574, 20614, 59847, 59848, 66839, 76623, 77313]"
29606863,2020-07-23,"[9.504, 0.792, 57.6, 14.4, 4.2, 4.752, 25.2, 8.4, 4.752, 9.504, 2.4]","[3337, 3338, 3372, 5983, 10947, 10957, 19898, 48859, 59873, 59874, 71317]"
29606863,2020-07-27,"[57.6, 50.4, 25.2]","[3410, 10946, 29777]"
29606863,2020-07-29,"[1.584, 9.6, 21.6, 25.2, 4.2, 37.44, 9.504, 4.0]","[3338, 6013, 11574, 19898, 33335, 55357, 59874, 63311]"
29606863,2020-08-06,"[2.376, 21.6, 4.752, 18.0, 27.0, 4.0, 7.2, 4.6008]","[3338, 5983, 10957, 16519, 16550, 37961, 59848, 77313]"
29606863,2020-08-13,"[38.016, 12.0, 0.6, 9.504, 8.4, 8.0, 27.0, 4.6008]","[3337, 9974, 10946, 10957, 29777, 37961, 59848, 77313]"
29606863,2020-08-17,"[0.6, 4.2, 57.6, 16.8, 8.4, 4.2, 43.2, 4.0]","[10611, 10947, 11574, 29777, 33335, 48859, 59848, 66839]"
29606863,2020-08-18,"[57.6, 57.6, 12.0, 27.0]","[3372, 3410, 9974, 59848]"
29606863,2020-08-25,"[0.6, 6.4, 36.0, 36.0, 25.2, 4.0]","[10611, 10965, 16519, 16550, 29777, 63311]"
29606863,2020-08-31,"[21.6, 21.6, 14.4, 9.6, 16.8, 54.0, 0.9504]","[3372, 3410, 5983, 10965, 48859, 59848, 76623]"
29606863,2020-09-04,"[0.6, 45.0, 45.0, 4.2, 1.8, 4.0]","[10611, 16519, 16550, 20614, 59847, 63311]"
29606863,2020-09-07,"[42.768, 36.0, 36.0, 8.4, 9.504, 36.0, 27.0, 4.752, 28.512, 4.0, 2.4, 0.0]","[3337, 3372, 3410, 10946, 10957, 11574, 59848, 59873, 59874, 63627, 71317, 80176]"
29606863,2020-09-17,"[1.584, 50.4, 6.4, 1.035, 16.8, 64.8]","[3338, 3410, 6013, 6108, 10946, 59848]"
29606863,2020-09-24,"[36.0, 36.0, 12.6, 4.2, 0.6, 4.2, 25.2, 4.2, 3.6, 27.0, 2.4]","[3410, 5983, 10946, 10947, 17028, 19898, 29777, 48859, 59847, 59848, 71317]"
29606863,2020-09-28,"[36.0, 36.0, 6.4, 9.6, 21.6, 27.0]","[3372, 3410, 6013, 10965, 11574, 16550]"
29606863,2020-10-09,"[36.0, 21.0, 13.5, 16.8, 1.8, 10.8, 11.6382]","[3410, 10946, 16550, 29777, 59847, 59848, 80176]"
29606863,2020-10-15,"[8.4, 13.5, 16.8, 16.2, 4.752, 2.4, 0.9504]","[10946, 16550, 48859, 59848, 59874, 71317, 77589]"
29606863,2020-10-22,"[21.6, 14.4, 8.0, 4.2, 22.5, 1.8, 10.8, 19.008, 9.504, 12.2388]","[3372, 5983, 6013, 10946, 16550, 59847, 59848, 59874, 61685, 80176]"
29606863,2020-11-04,[25.2],[80176]
29606863,2020-12-02,"[8.4, 12.6, 1.8, 4.2, 12.6]","[10946, 29777, 62707, 66989, 80176]"
29606863,2020-12-28,"[12.6, 21.0, 0.6, 8.4, 33.6]","[10946, 29777, 33335, 66989, 80176]"
29606863,2021-01-11,"[21.0, 8.4, 4.2, 16.8]","[10946, 19898, 66989, 80176]"
29606863,2021-02-17,"[4.752, 8.4, 4.2, 4.2, 0.6, 4.2, 21.0]","[3337, 10946, 19898, 29777, 33335, 48859, 80176]"
29378784,2019-08-27,"[7.2, 9.6, 2.4, 1.6, 4.2, 1.584, 7.2, 13.5, 0.792, 1.2, 1.8, 4.752, 0.6, 0.4, 1.2, 0.6]","[3372, 3410, 5983, 6013, 10946, 10957, 11574, 16550, 30822, 33335, 59848, 59874, 61629, 66839, 66989, 71316]"
29378784,2019-09-13,"[4.8, 9.6, 2.4, 4.0, 4.2, 4.8, 1.2, 4.5, 1.2, 1.2, 4.2, 0.6, 1.2]","[3372, 3410, 5983, 9974, 10946, 11574, 11766, 16550, 19898, 20614, 29777, 48859, 66989]"
29378784,2019-10-03,"[7.2, 9.6, 4.2, 0.6, 0.792, 4.8, 4.5, 9.0, 4.2, 4.2, 1.8, 4.752, 1.2, 0.6]","[3372, 3410, 10946, 10947, 10957, 11574, 16519, 16550, 19898, 57005, 59848, 59874, 60036, 61629]"
29378784,2019-10-25,"[4.8, 9.6, 4.8, 4.2, 13.5, 0.6, 0.6, 0.6, 2.4, 2.4]","[3372, 3410, 5983, 10946, 16550, 20614, 33335, 57005, 62706, 62707]"
29378784,2019-11-21,"[4.8, 7.2, 4.2, 2.4, 4.5, 9.0, 0.6, 1.8, 0.792, 1.2, 1.2]","[3372, 3410, 10946, 11574, 16519, 16550, 48859, 59848, 59873, 62707, 66989]"
29378784,2019-12-06,"[0.792, 4.8, 12.0, 2.4, 4.2, 18.0, 4.2, 1.8, 0.792, 4.752, 2.4, 1.2, 1.2]","[3338, 3372, 3410, 5983, 10946, 16550, 29777, 59848, 59873, 59874, 62706, 62707, 66989]"
29378784,2019-12-16,"[14.4, 7.2, 2.4, 0.792, 4.8, 1.2, 18.0, 0.6, 0.6, 0.6, 1.8, 1.2, 2.4, 0.6, 1.2]","[3372, 3410, 5983, 10957, 11574, 11766, 16519, 19898, 20614, 48859, 59848, 61629, 62706, 62707, 66989]"
29378784,2019-12-23,"[12.0, 19.2, 8.4, 4.8, 1.2, 1.8, 0.6, 4.2, 1.584, 1.8, 4.752, 0.6, 4.0, 1.8]","[3372, 3410, 10946, 11574, 11766, 19898, 20614, 29777, 30822, 59848, 59874, 61629, 66738, 66989]"
29378784,2020-01-29,"[7.2, 4.2, 0.6, 4.8, 4.2, 18.0, 0.6, 0.6, 0.792, 0.6, 0.6, 0.6, 4.2, 0.6, 1.2, 0.6]","[3372, 10946, 10947, 11574, 11766, 16550, 17028, 20614, 30822, 48537, 48859, 53566, 57005, 61629, 66989, 71316]"
29378784,2020-02-20,"[4.8, 4.2, 1.2, 2.4, 18.0, 0.792, 0.6, 0.6, 0.6, 1.2]","[3372, 10946, 10947, 11574, 16550, 30822, 48537, 48859, 53566, 66989]"
29378784,2020-03-03,"[4.8, 7.2, 4.0, 2.4, 0.0, 9.0, 0.6, 0.6, 0.6, 4.0, 1.8, 0.6, 1.2, 2.4, 1.584]","[3372, 3410, 9974, 11574, 15793, 16550, 33335, 48537, 53566, 54632, 59848, 61629, 70572, 70579, 77721]"
29378784,2020-04-23,"[1.8, 4.5, 18.0, 12.6, 4.2, 1.8, 0.675, 0.792, 0.99, 0.6, 0.99, 1.2]","[11766, 16519, 16550, 19898, 29777, 48859, 58277, 59873, 64272, 66989, 70225, 71316]"
29378784,2020-04-29,"[27.0, 2.4, 1.8]","[16550, 19898, 66989]"
29378784,2020-05-19,"[1.2, 9.0, 36.0, 2.4, 0.6, 1.2, 1.8, 1.98]","[11766, 16519, 16550, 19898, 48537, 48859, 66989, 70225]"
29378784,2020-06-23,"[7.2, 7.2, 0.6, 0.6, 1.2, 2.4, 0.6, 0.48, 2.4, 0.6, 0.6, 0.6, 0.6, 3.6, 2.4552, 0.6, 0.48, 0.48, 0.6, 4.2, 1.98, 1.2, 0.6, 0.6, 1.2, 1.2]","[3372, 3410, 3450, 3530, 10947, 11766, 17028, 18690, 19898, 20614, 33335, 48537, 53566, 59848, 59874, 61629, 63480, 63481, 63482, 66989, 70225, 70572, 70601, 71316, 72328, 78356]"
29378784,2020-07-03,"[2.4, 12.0, 0.6, 0.6, 2.4, 0.6, 1.2, 4.2, 1.2, 0.6, 3.6, 4.752, 1.2, 0.48, 0.99, 0.6]","[3372, 3410, 3450, 3530, 5983, 17028, 20614, 29777, 48537, 53566, 59848, 59874, 61629, 63481, 64272, 70601]"
29378784,2020-07-31,"[12.0, 7.2, 1.2, 2.4, 12.6, 1.2, 4.2, 0.6, 0.48, 0.6, 0.6, 0.6, 3.6, 1.8, 0.48, 0.6, 0.6, 0.6]","[3372, 3410, 3530, 5983, 10946, 10947, 11766, 17028, 18690, 20614, 48537, 53566, 59848, 61629, 63481, 63482, 70601, 71316]"
29378784,2020-08-06,"[1.2, 2.4, 12.6, 4.2, 0.6, 0.6, 0.6, 0.6, 4.0, 3.6, 0.48, 0.6, 4.2, 1.2, 1.8, 2.4]","[3530, 5983, 10946, 11766, 17028, 20614, 48537, 53566, 54632, 59848, 63481, 63482, 66989, 70601, 71316, 78356]"
29378784,2020-08-28,"[23.76, 9.6, 1.2, 2.376, 2.4, 8.4, 0.792, 1.2, 9.504, 8.4]","[3337, 3410, 9974, 10957, 11574, 29777, 30822, 48859, 59874, 80176]"
29378784,2020-09-15,"[4.8, 2.4, 2.4, 1.2, 4.2, 2.4, 4.5, 9.0, 1.8, 0.6, 0.6, 3.6, 0.48, 2.4, 0.0, 0.6, 0.0]","[3372, 3410, 5983, 9974, 10946, 11574, 16519, 16550, 19898, 20614, 53566, 59848, 63481, 66989, 70601, 70605, 72328]"
29378784,2020-09-30,"[9.6, 9.6, 0.0, 0.6, 2.4, 8.4, 2.4, 0.6, 1.8, 3.6, 0.6, 1.8, 0.0]","[3372, 3410, 3450, 3530, 5983, 10946, 11574, 17028, 19898, 59848, 61629, 66989, 70601]"
29378784,2020-11-02,"[4.2, 4.2, 4.5, 18.0, 0.3, 0.6, 4.2, 0.6, 0.6, 4.2, 0.6]","[10946, 11766, 16519, 16550, 33335, 48537, 48859, 53566, 61629, 66989, 70601]"
29378784,2020-12-20,"[0.6, 4.2, 4.5, 27.0, 0.6, 1.584, 1.2, 0.6, 0.48, 1.98]","[3450, 10946, 16519, 16550, 33335, 59873, 61629, 62707, 63480, 70225]"
29378784,2021-01-08,"[8.4, 4.2, 9.0, 27.0, 4.2, 4.2, 4.2]","[10946, 11766, 16519, 16550, 29777, 48859, 66989]"
29379853,2019-08-01,"[6.4, 42.0, 16.8, 6.4, 16.8, 42.0, 8.4, 0.6]","[6013, 10946, 10947, 10965, 11766, 19898, 20614, 48859]"
29379853,2019-08-05,"[50.4, 50.4, 3.36, 16.8]","[10946, 11766, 18690, 20614]"
29379853,2019-08-21,"[4.2, 33.6, 21.0, 21.0, 21.0, 4.2, 4.2, 4.2]","[3530, 10946, 10947, 11766, 19898, 33335, 61629, 64665]"
29379853,2019-09-06,[4.2],[20614]
29379853,2019-09-10,"[4.0, 21.0, 21.0, 36.0, 8.4, 0.9504, 21.0, 21.0, 4.2, 4.2]","[9974, 10946, 10947, 11574, 11766, 18827, 19898, 20614, 66989, 70601]"
29379853,2019-09-19,[109.2],[10946]
29379853,2019-09-23,"[4.752, 4.2, 8.4, 29.4, 29.4, 8.4, 6.72, 6.72, 8.4, 8.4]","[3337, 10611, 10947, 11766, 19898, 61629, 63480, 63481, 64665, 66989]"
29379853,2019-10-11,"[3.2, 4.2, 1.8, 4.2, 4.2, 7.2, 88.2, 4.8]","[10965, 17028, 21416, 48537, 53566, 62706, 62707, 71317]"
29379853,2019-10-24,"[12.6, 12.6, 0.6, 0.792, 0.792, 37.8, 4.2, 4.2, 4.2]","[10947, 11766, 48859, 59873, 59874, 62707, 63482, 70601, 71316]"
29379853,2019-11-07,"[0.792, 4.2, 3.2, 4.0, 4.2, 42.0, 4.2, 1.6, 28.8, 3.36, 3.6, 8.4, 8.4, 6.72, 4.2, 8.4, 4.2, 4.8]","[3338, 3530, 6013, 9974, 10611, 10946, 10947, 10965, 11574, 18690, 59847, 61629, 62707, 63480, 64665, 66989, 70601, 71317]"
29379853,2019-12-05,"[1.6, 71.4, 3.2, 16.8, 4.2, 0.6, 1.8, 29.4, 4.2, 4.2, 4.2, 4.2, 0.9504]","[6013, 10946, 10965, 19898, 33335, 48859, 59847, 62707, 63482, 64665, 70601, 71316, 72548]"
29379853,2019-12-12,[29.4],[62707]
29379853,2019-12-21,"[42.0, 9.6, 28.8, 42.0, 12.6, 4.2, 20.0, 0.792, 0.792, 6.72, 6.72]","[10947, 10965, 11574, 11766, 19898, 20614, 54632, 59873, 59874, 63480, 63481]"
29379853,2020-01-08,"[4.0, 4.2, 21.0, 21.0, 12.6, 4.2, 0.6, 1.8, 12.6, 4.2, 12.6, 4.2, 4.2, 2.4, 0.9504]","[9974, 17028, 19898, 20614, 33335, 48537, 57005, 59847, 61629, 64665, 66989, 70601, 71316, 71317, 77589]"
29379853,2020-02-04,"[4.2, 4.2, 4.0, 4.2, 29.4, 12.6, 8.4, 3.36, 4.2, 4.2, 3.6, 4.2, 10.08, 6.72, 4.2, 4.2, 7.2, 4.2, 4.2, 7.2, 0.9504]","[3450, 3530, 9974, 10611, 10946, 10947, 11766, 18690, 48859, 53566, 59847, 61629, 63480, 63481, 63482, 66989, 70579, 70601, 71316, 71317, 77589]"
29379853,2020-02-12,"[4.752, 12.6, 4.2, 4.2, 4.0, 88.2]","[3337, 19898, 48537, 64665, 66738, 70572]"
29379853,2020-02-19,"[42.0, 8.0, 28.8, 16.8, 16.8, 8.4, 0.792, 4.2, 0.792, 4.2, 4.0, 4.2, 12.6]","[10946, 10965, 11574, 11766, 19898, 20614, 30822, 48537, 59873, 61629, 63627, 66989, 70572]"
29379853,2020-04-07,"[4.2, 25.2, 16.8, 16.8, 4.2, 16.8, 4.2, 4.2, 3.36, 3.36, 4.2, 4.2, 4.2]","[10611, 10946, 10947, 11766, 17028, 19898, 48537, 61629, 63480, 63481, 64665, 70601, 71316]"
29379853,2020-04-15,"[4.2, 25.2, 21.0, 16.8, 16.8, 8.4, 4.2, 8.4, 6.72, 4.2, 8.4]","[3530, 10946, 10947, 11766, 19898, 33335, 53566, 61629, 63480, 64665, 66989]"
29379853,2020-04-16,"[4.2, 33.6, 42.0, 25.2, 3.36, 21.0, 12.6, 8.4, 4.2, 6.72, 3.36, 4.2, 4.2, 4.2, 4.2]","[3450, 10946, 10947, 11766, 18690, 19898, 20614, 33335, 48537, 63480, 63481, 63482, 64665, 70601, 71316]"
29379853,2020-04-27,"[58.8, 16.8, 8.4, 4.2, 3.36, 8.4, 4.2, 4.2]","[10946, 19898, 33335, 61629, 63481, 66989, 70601, 71316]"
29379853,2020-05-02,"[4.2, 46.2, 3.36, 16.8, 4.2, 4.2, 4.2, 0.792, 8.4, 3.36, 6.72, 4.2, 8.4, 8.4, 8.4, 0.852]","[3530, 10946, 18690, 19898, 33335, 48537, 53566, 59874, 61629, 63480, 63481, 64665, 66989, 70601, 71316, 77313]"
29379853,2020-05-04,"[25.2, 4.2, 4.2]","[11766, 63482, 64665]"
29379853,2020-05-06,"[4.2, 4.2, 29.4, 4.2, 8.4, 4.2, 16.8, 4.2, 12.6, 4.2, 4.2, 6.72, 3.36, 4.2, 4.2]","[3530, 10611, 10946, 10947, 11766, 17028, 19898, 20614, 33335, 48537, 53566, 63480, 63481, 63482, 64665]"
29379853,2020-05-07,"[4.2, 4.2, 6.72]","[10946, 20614, 63480]"
29379853,2020-05-13,"[21.0, 21.0, 21.0, 8.4, 8.4, 4.2, 8.4, 8.4, 4.2, 4.2]","[10946, 10947, 11766, 19898, 20614, 48537, 61629, 66989, 70601, 71316]"
