Wholesaler,Latitude,Longitude
29379620.0,43.2698,3.2234
29379611.0,48.7167,-1.5
29596966.0,44.5543,6.1627
29378895.0,50.838,1.9284
29379690.0,43.5003,3.7117
29563837.0,,
29379849.0,48.7038,2.3391
29379058.0,48.5166,7.6467
29379850.0,48.7695,2.4793
29379657.0,45.7,-0.2167
29379831.0,47.6982,-0.0755
29379615.0,48.0667,-0.7667
29379666.0,48.4554,-2.028
29379827.0,43.9298,2.148
29379698.0,44.9333,4.9
29379677.0,43.6768,4.6303
29563833.0,47.9333,-4.15
29379678.0,43.2789,5.4152
29564005.0,44.2361,1.7717
29379618.0,43.6109,3.8772
29379537.0,43.6646,7.1534
29378966.0,,
29683450.0,46.3064,6.4447
29379860.0,44.0102,4.8738
29430384.0,49.0137,2.4659
29379612.0,49.0667,3.9667
29379894.0,50.3843,1.8325
29379613.0,49.25,4.0333
29379702.0,48.3785,1.4515
29379609.0,44.3993,0.5912
29607967.0,45.6679,4.8963
29563827.0,43.3833,-0.2833
29379604.0,45.2397,4.6707
29379843.0,48.9869,2.4489
29537235.0,43.3445,5.38
29756769.0,46.8406,3.4549
29379835.0,45.588,6.4551
29610633.0,,
29722953.0,48.7842,1.9552
29839429.0,43.9483,4.8089
29379593.0,46.3728,-0.4721
29832988.0,44.8835,-0.6469
29379538.0,44.501,4.4841
29379863.0,45.8315,1.2578
29379623.0,47.069,5.3713
29379836.0,45.5856,6.3045
29780131.0,48.363,2.9875
29379842.0,48.8811,2.5929
29379896.0,45.7035,3.1681
29379628.0,45.0503,3.882
29379844.0,48.9535,2.3151
29840997.0,46.2455,4.7422
29988565.0,50.3667,3.4833
29378933.0,43.7586,7.3188
29379905.0,45.6084,4.8102
29379001.0,49.5028,0.3603
29425623.0,48.0973,2.3173
29379363.0,44.9333,-0.1833
29379858.0,43.45,6.6833
29563809.0,48.7333,1.3667
29379866.0,48.6721,2.3932
29379845.0,48.9869,2.4489
29379916.0,50.9581,1.8521
29379846.0,48.9,2.45
29378892.0,50.4,1.6
29379681.0,45.108,2.8667
29379002.0,48.5741,2.5829
29379818.0,48.9981,1.6313
29379840.0,49.3556,1.0065
29378896.0,43.8455,7.0926
29727962.0,50.9623,2.4096
29379834.0,45.6221,6.7996
40002273.0,48.112,-1.6743
29379708.0,48.6667,-4.05
29379701.0,49.3503,0.651
29996996.0,46.601,-1.7554
29379101.0,47.8192,-0.2392
29379089.0,43.1619,-0.9016
29379833.0,45.55,6.6667
29379686.0,43.384,0.5982
29801553.0,47.9501,1.876
29379015.0,48.1679,6.6505
29379664.0,45.15,1.5333
29996995.0,43.0167,-0.1167
29379915.0,50.3026,3.0435
29833190.0,42.4678,9.3896
29379642.0,50.4888,3.3513
29379824.0,50.0032,2.9109
29793472.0,48.6721,2.3932
29974413.0,49.2234,3.9889
29446255.0,47.7993,-0.721
29804035.0,47.7993,-0.721
29563563.0,48.9333,2.3
29750335.0,46.2542,-1.0267
29643421.0,48.2751,2.6908
29986364.0,48.6167,1.9167
40001857.0,48.765,2.3961
29983887.0,44.9975,5.1859
29801344.0,,
1.0,50.45,2.96
200018.0,50.45,2.96
2.0,50.45,2.96
